Observer_name_1,Observer_name_2,Date,Site,Zone,Depth,Water_Temp,Visibility,Current,Group,Size,Diver_1_count,Diver_2_count,Total,Survey_Status,Survey_ID
J-Jack Ballagher,Rune Nordenoft,2017-09-20 00:00:00,MASAPLOD NORTE MPA,1,Deep,30,12,1,Drupella,0-5,10,0,10,1,676d3e20399de246bcff8ebc
J-Jack Ballagher,Rune Nordenoft,2017-09-20 00:00:00,MASAPLOD NORTE MPA,1,Deep,30,12,1,Drupella,0-5,4,0,4,1,676d3e20399de246bcff8ebc
Jack Hasting,Heidi Jensen,2017-09-20 00:00:00,MASAPLOD NORTE MPA,2,Deep,30,12,1,Drupella,0-5,1,0,1,1,676d3e20399de246bcff8ebf
Laura Schram,Laura Schram,2017-09-20 00:00:00,MASAPLOD NORTE MPA,1,Deep,30,12,1,Drupella,0-5,26,0,26,1,676d3e20399de246bcff8ec1
Emma Cottone,Heidi Jensen,2017-09-21 00:00:00,Guinsuan MPA,1,Shallow,28,12,1,Drupella,0-5,1,0,1,1,676d3e20399de246bcff8ec3
J-Jack Ballagher,Rune Nordenoft,2017-09-21 00:00:00,Guinsuan MPA,2,Shallow,28,12,1,Drupella,0-5,16,0,16,1,676d3e20399de246bcff8ec5
J-Jack Ballagher,Rune Nordenoft,2017-09-21 00:00:00,Guinsuan MPA,1,Deep,28,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff8ec7
Laura Schram,Laura Schram,2017-09-25 00:00:00,DAUIN POBLACION MPA,1,Shallow,30,12,1,Drupella,0-5,15,0,15,1,676d3e20399de246bcff8ec9
Laura Schram,Laura Schram,2017-09-25 00:00:00,DAUIN POBLACION MPA,1,Shallow,30,12,1,Drupella,0-5,23,0,23,1,676d3e20399de246bcff8ec9
Emma Cottone,Heidi Jensen,2017-09-25 00:00:00,DAUIN POBLACION MPA,3,Medium,30,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff8ecc
Emma Cottone,Heidi Jensen,2017-09-25 00:00:00,DAUIN POBLACION MPA,3,Medium,30,12,1,Drupella,0-5,6,0,6,1,676d3e20399de246bcff8ecc
J-Jack Ballagher,Heidi Jensen,2017-09-25 00:00:00,DAUIN POBLACION MPA,2,Medium,30,12,1,Drupella,0-5,4,0,4,1,676d3e20399de246bcff8ecf
J-Jack Ballagher,Jack Hasting,2017-09-25 00:00:00,DAUIN POBLACION MPA,1,Medium,30,12,1,Drupella,0-5,9,0,9,1,676d3e20399de246bcff8ed1
J-Jack Ballagher,Jack Hasting,2017-09-25 00:00:00,DAUIN POBLACION MPA,1,Medium,30,12,1,Drupella,0-5,7,0,7,1,676d3e20399de246bcff8ed1
Laura Schram,Pepita Andersson,2017-09-25 00:00:00,DAUIN POBLACION MPA,1,Medium,30,12,1,Drupella,0-5,15,0,15,1,676d3e20399de246bcff8ed4
Laura Schram,Pepita Andersson,2017-09-25 00:00:00,DAUIN POBLACION MPA,2,Medium,30,12,1,Drupella,0-5,1,0,1,1,676d3e20399de246bcff8ed6
Rune Nordenoft,Raffy Casinares,2017-09-25 00:00:00,DAUIN POBLACION MPA,1,Medium,29,12,1,Drupella,0-5,6,0,6,1,676d3e20399de246bcff8ed8
Laura Schram,Pepita Andersson,2017-09-25 00:00:00,DAUIN POBLACION MPA,2,Deep,30,12,1,Drupella,0-5,1,0,1,1,676d3e20399de246bcff8eda
Rune Nordenoft,Raffy Casinares,2017-09-25 00:00:00,DAUIN POBLACION MPA,1,Deep,29,12,1,Drupella,0-5,4,0,4,1,676d3e20399de246bcff8edc
Jack Hasting,Heidi Jensen,2017-09-26 00:00:00,UNITY POINT,1,Shallow,30,12,1,Drupella,0-5,2,0,2,1,676d3e20399de246bcff8ede
Pepita Andersson,Daniel Løvborg,2017-09-26 00:00:00,UNITY POINT,1,Shallow,30,12,1,Drupella,0-5,1,0,1,1,676d3e20399de246bcff8ee0
Pepita Andersson,Daniel Løvborg,2017-09-26 00:00:00,UNITY POINT,1,Shallow,30,12,1,Drupella,0-5,1,0,1,1,676d3e20399de246bcff8ee0
Emma Cottone,Laura Schram,2017-09-26 00:00:00,UNITY POINT,1,Medium,30,12,1,Drupella,0-5,24,0,24,1,676d3e20399de246bcff8ee3
J-Jack Ballagher,Raffy Casinares,2017-09-26 00:00:00,UNITY POINT,1,Medium,30,12,1,Drupella,0-5,9,0,9,1,676d3e20399de246bcff8ee5
J-Jack Ballagher,Raffy Casinares,2017-09-26 00:00:00,UNITY POINT,1,Medium,30,12,1,Drupella,0-5,9,0,9,1,676d3e20399de246bcff8ee5
Jack Hasting,Heidi Jensen,2017-09-26 00:00:00,UNITY POINT,1,Medium,30,12,1,Drupella,0-5,6,0,6,1,676d3e20399de246bcff8ee8
Pepita Andersson,Daniel Løvborg,2017-09-26 00:00:00,UNITY POINT,1,Medium,30,12,1,Drupella,0-5,8,0,8,1,676d3e20399de246bcff8eea
J-Jack Ballagher,Raffy Casinares,2017-09-26 00:00:00,UNITY POINT,1,Deep,30,12,1,Drupella,0-5,7,0,7,1,676d3e20399de246bcff8eec
J-Jack Ballagher,Raffy Casinares,2017-09-26 00:00:00,UNITY POINT,1,Deep,30,12,1,Drupella,0-5,4,0,4,1,676d3e20399de246bcff8eec
Heidi Jensen,Jack Hasting,2017-09-27 00:00:00,MASAPLOD NORTE MPA,2,Shallow,30,12,1,Drupella,0-5,1,0,1,1,676d3e20399de246bcff8eef
