Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Spring 2021,Andulay MPA,42.5,9,9.37,3.12,35.3,49.7,39.38,45.62,8.33,9,5.42,1.81,4.17,12.5,6.53,10.14,19.54,9,8.29,2.76,13.16,25.91,16.77,22.3,6.48,9,7.29,2.43,0.88,12.08,4.05,8.91,13.61,9,8.54,2.85,7.05,20.17,10.76,16.46
Spring 2022,Andulay MPA,30.64,17,9.79,2.37,25.6,35.67,28.26,33.01,11.37,17,10.15,2.46,6.15,16.59,8.91,13.84,16.96,17,8.45,2.05,12.62,21.31,14.91,19.01,10.64,17,5.43,1.32,7.85,13.43,9.32,11.95,8.09,17,5.63,1.36,5.2,10.98,6.72,9.45
Summer 2022,Andulay MPA,23.56,18,10.54,2.48,18.32,28.81,21.08,26.05,13.56,18,7.94,1.87,9.62,17.51,11.69,15.44,15.83,18,7.76,1.83,11.97,19.69,14.0,17.66,15.51,18,9.87,2.33,10.6,20.42,13.18,17.84,7.22,18,3.83,0.9,5.32,9.13,6.32,8.13
Autumn 2022,Andulay MPA,30.14,18,9.91,2.34,25.21,35.07,27.8,32.47,14.21,18,9.16,2.16,9.66,18.77,12.05,16.37,17.5,18,7.26,1.71,13.89,21.11,15.79,19.21,6.25,18,7.09,1.67,2.72,9.78,4.58,7.92,12.59,18,10.08,2.38,7.58,17.6,10.22,14.97
Winter 22/23,Andulay MPA,28.92,17,10.29,2.5,23.63,34.21,26.42,31.42,8.43,17,3.58,0.87,6.59,10.27,7.56,9.3,17.21,17,9.93,2.41,12.1,22.31,14.8,19.61,16.32,17,12.66,3.07,9.82,22.83,13.25,19.39,7.79,17,5.67,1.37,4.88,10.71,6.42,9.17
Spring 2023,Andulay MPA,29.39,22,9.31,1.99,25.27,33.52,27.41,31.38,11.86,22,7.14,1.52,8.69,15.02,10.33,13.38,12.99,22,7.29,1.55,9.76,16.22,11.44,14.55,17.39,22,10.89,2.32,12.56,22.21,15.07,19.71,9.2,22,6.19,1.32,6.46,11.95,7.88,10.52
Summer 2023,Andulay MPA,26.67,23,14.54,3.03,20.38,32.95,23.64,29.7,8.59,23,4.54,0.95,6.62,10.55,7.64,9.53,16.81,23,8.83,1.84,12.99,20.63,14.97,18.65,21.05,23,15.75,3.28,14.24,27.86,17.77,24.34,2.21,23,4.34,0.91,0.33,4.09,1.3,3.12
Autumn 2023,Andulay MPA,23.69,14,13.49,3.61,15.9,31.48,20.08,27.3,7.32,14,5.37,1.44,4.22,10.42,5.89,8.76,14.29,14,6.74,1.8,10.4,18.18,12.49,16.09,26.19,14,10.88,2.91,19.91,32.47,23.28,29.1,1.37,14,2.35,0.63,0.01,2.72,0.74,2.0
Winter 23/24,Andulay MPA,19.17,17,12.25,2.97,12.87,25.46,16.2,22.14,12.35,17,8.97,2.18,7.74,16.97,10.18,14.53,11.96,17,6.66,1.62,8.54,15.38,10.35,13.58,23.24,17,16.07,3.9,14.97,31.5,19.34,27.13,2.65,17,7.31,1.77,0.0,6.41,0.87,4.42
Spring 2024,Andulay MPA,25.39,17,11.62,2.82,19.42,31.37,22.57,28.21,13.97,17,6.91,1.68,10.42,17.52,12.29,15.65,14.17,17,8.06,1.95,10.02,18.31,12.21,16.12,14.9,17,8.87,2.15,10.34,19.46,12.75,17.05,2.99,17,3.75,0.91,1.06,4.92,2.08,3.9
